state,pcode,pname
PERLIS,1,PADANG BESAR
PERLIS,2,KANGAR
PERLIS,3,ARAU
KEDAH,4,LANGKAWI
KEDAH,5,JERLUN
KEDAH,6,KUBANG PASU
KEDAH,7,PADANG TERAP
KEDAH,8,POKOK SENA
KEDAH,9,ALOR STAR
KEDAH,10,KUALA KEDAH
KEDAH,11,PENDANG
KEDAH,12,JERAI
KEDAH,13,SIK
KEDAH,14,MERBOK
KEDAH,15,SUNGAI PETANI
KEDAH,16,BALING
KEDAH,17,PADANG SERAI
KEDAH,18,KULIM-BANDAR BAHARU
KELANTAN,19,TUMPAT
KELANTAN,20,PENGKALAN CHEPA
KELANTAN,21,KOTA BHARU
KELANTAN,22,PASIR MAS
KELANTAN,23,RANTAU PANJANG
KELANTAN,24,KUBANG KERIAN
KELANTAN,25,BACHOK
KELANTAN,26,KETEREH
KELANTAN,27,TANAH MERAH
KELANTAN,28,PASIR PUTEH
KELANTAN,29,MACHANG
KELANTAN,30,JELI
KELANTAN,31,KUALA KRAI
KELANTAN,32,GUA MUSANG
TERENGGANU,33,BESUT
TERENGGANU,34,SETIU
TERENGGANU,35,KUALA NERUS
TERENGGANU,36,KUALATERENGGANU
TERENGGANU,37,MARANG
TERENGGANU,38,HULU TERENGGANU
TERENGGANU,39,DUNGUN
TERENGGANU,40,KEMAMAN
PULAU PINANG,41,KEPALA BATAS
PULAU PINANG,42,TASEK GELUGOR
PULAU PINANG,43,BAGAN
PULAU PINANG,44,PERMATANG PAUH
PULAU PINANG,45,BUKIT MERTAJAM
PULAU PINANG,46,BATU KAWAN
PULAU PINANG,47,NIBONG TEBAL
PULAU PINANG,48,BUKIT BENDERA
PULAU PINANG,49,TANJONG
PULAU PINANG,50,JELUTONG
PULAU PINANG,51,BUKIT GELUGOR
PULAU PINANG,52,BAYAN BARU
PULAU PINANG,53,BALIK PULAU
PERAK,54,GERIK
PERAK,55,LENGGONG
PERAK,56,LARUT
PERAK,57,PARIT BUNTAR
PERAK,58,BAGAN SERAI
PERAK,59,BUKIT GANTANG
PERAK,60,TAIPING
PERAK,61,PADANG RENGAS
PERAK,62,SUNGAI SIPUT
PERAK,63,TAMBUN
PERAK,64,IPOH TIMOR
PERAK,65,IPOH BARAT
PERAK,66,BATU GAJAH
PERAK,67,KUALA KANGSAR
PERAK,68,BERUAS
PERAK,69,PARIT
PERAK,70,KAMPAR
PERAK,71,GOPENG
PERAK,72,TAPAH
PERAK,73,PASIR SALAK
PERAK,74,LUMUT
PERAK,75,BAGAN DATOK
PERAK,76,TELOK INTAN
PERAK,77,TANJONG MALIM
PAHANG,78,CAMERON HIGHLANDS
PAHANG,79,LIPIS
PAHANG,80,RAUB
PAHANG,81,JERANTUT
PAHANG,82,INDERA MAHKOTA
PAHANG,83,KUANTAN
PAHANG,84,PAYA BESAR
PAHANG,85,PEKAN
PAHANG,86,MARAN
PAHANG,87,KUALA KRAU
PAHANG,88,TEMERLOH
PAHANG,89,BENTONG
PAHANG,90,BERA
PAHANG,91,ROMPIN
SELANGOR,92,SABAK BERNAM
SELANGOR,93,SUNGAI BESAR
SELANGOR,94,HULU SELANGOR
SELANGOR,95,TANJONG KARANG
SELANGOR,96,KUALA SELANGOR
SELANGOR,97,SELAYANG
SELANGOR,98,GOMBAK
SELANGOR,99,AMPANG
SELANGOR,100,PANDAN
SELANGOR,101,HULU LANGAT
SELANGOR,102,SERDANG
SELANGOR,103,PUCHONG
SELANGOR,104,KELANA JAYA
SELANGOR,105,PETALING JAYA SELATAN
SELANGOR,106,PETALING JAYA UTARA
SELANGOR,107,SUBANG
SELANGOR,108,SHAH ALAM
SELANGOR,109,KAPAR
SELANGOR,110,KLANG
SELANGOR,111,KOTA RAJA
SELANGOR,112,KUALA LANGAT
SELANGOR,113,SEPANG
W.P. KUALA LUMPUR,114,KEPONG
W.P. KUALA LUMPUR,115,BATU
W.P. KUALA LUMPUR,116,WANGSA MAJU
W.P. KUALA LUMPUR,117,SEGAMBUT
W.P. KUALA LUMPUR,118,SETIAWANGSA
W.P. KUALA LUMPUR,119,TITIWANGSA
W.P. KUALA LUMPUR,120,BUKIT BINTANG
W.P. KUALA LUMPUR,121,LEMBAH PANTAI
W.P. KUALA LUMPUR,122,SEPUTEH
W.P. KUALA LUMPUR,123,CHERAS
W.P. KUALA LUMPUR,124,BANDAR TUN RAZAK
W.P. PUTRAJAYA,125,PUTRAJAYA
NEGERI SEMBILAN,126,JELEBU
NEGERI SEMBILAN,127,JEMPOL
NEGERI SEMBILAN,128,SEREMBAN
NEGERI SEMBILAN,129,KUALA PILAH
NEGERI SEMBILAN,130,RASAH
NEGERI SEMBILAN,131,REMBAU
NEGERI SEMBILAN,132,TELOK KEMANG
NEGERI SEMBILAN,133,TAMPIN
MELAKA,134,MASJID TANAH
MELAKA,135,ALOR GAJAH
MELAKA,136,TANGGA BATU
MELAKA,137,BUKIT KATIL
MELAKA,138,KOTA MELAKA
MELAKA,139,JASIN
JOHOR,140,SEGAMAT
JOHOR,141,SEKIJANG
JOHOR,142,LABIS
JOHOR,143,PAGOH
JOHOR,144,LEDANG
JOHOR,145,BAKRI
JOHOR,146,MUAR
JOHOR,147,PARIT SULONG
JOHOR,148,AYER HITAM
JOHOR,149,SRI GADING
JOHOR,150,BATU PAHAT
JOHOR,151,SIMPANG RENGGAM
JOHOR,152,KLUANG
JOHOR,153,SEMBRONG
JOHOR,154,MERSING
JOHOR,155,TENGGARA
JOHOR,156,KOTA TINGGI
JOHOR,157,PENGERANG
JOHOR,158,TEBRAU
JOHOR,159,PASIR GUDANG
JOHOR,160,JOHOR BAHRU
JOHOR,161,PULAI
JOHOR,162,GELANG PATAH
JOHOR,163,KULAI
JOHOR,164,PONTIAN
JOHOR,165,TANJONG PIAI
W.P.LABUAN,166,LABUAN
SABAH,167,KUDAT
SABAH,168,KOTA MARUDU
SABAH,169,KOTA BELUD
SABAH,170,TUARAN
SABAH,171,SEPANGGAR
SABAH,172,KOTA KINABALU
SABAH,173,PUTATAN
SABAH,174,PENAMPANG
SABAH,175,PAPAR
SABAH,176,KIMANIS
SABAH,177,BEAUFORT
SABAH,178,SIPITANG
SABAH,179,RANAU
SABAH,180,KENINGAU
SABAH,181,TENOM
SABAH,182,PENSIANGAN
SABAH,183,BELURAN
SABAH,184,LIBARAN
SABAH,185,BATU SAPI
SABAH,186,SANDAKAN
SABAH,187,KINABATANGAN
SABAH,188,LAHAD DATU
SABAH,189,SEMPORNA
SABAH,190,TAWAU
SABAH,191,KALABAKAN
SARAWAK,192,MAS GADING
SARAWAK,193,SANTUBONG
SARAWAK,194,PETRA JAYA
SARAWAK,195,BANDAR KUCHING
SARAWAK,196,STAMPIN
SARAWAK,197,KOTA SAMARAHAN
SARAWAK,198,PUNCAK BORNEO
SARAWAK,199,SERIAN
SARAWAK,200,BATANG SADONG
SARAWAK,201,BATANG LUPAR
SARAWAK,202,SRI AMAN
SARAWAK,203,LUBOK ANTU
SARAWAK,204,BETONG
SARAWAK,205,SARATOK
SARAWAK,206,TANJONG MANIS
SARAWAK,207,IGAN
SARAWAK,208,SARIKEI
SARAWAK,209,JULAU
SARAWAK,210,KANOWIT
SARAWAK,211,LANANG
SARAWAK,212,SIBU
SARAWAK,213,MUKAH
SARAWAK,214,SELANGAU
SARAWAK,215,KAPIT
SARAWAK,216,HULU RAJANG
SARAWAK,217,BINTULU
SARAWAK,218,SIBUTI
SARAWAK,219,MIRI
SARAWAK,220,BARAM
SARAWAK,221,LIMBANG
SARAWAK,222,LAWAS
