subtopic,code
MENANGGUHKAN BACAAN KALI YANG KEDUA DAN KETIGA RANG UNDANG-UNDANG DI BAWAH P.M. 62,11
1,0
3,3
2,2
4,4
6,5
7,6
8,7
9,8
10,1
WAKTU MESYUARAT DAN URUSAN DIBEBASKAN DARIPADA PERATURAN MESYUARAT,15
RANG UNDANG-UNDANG ORDINAN PEGUAM BELA (SABAH) (PINDAAN) 2021 Bacaan Kali Yang Pertama,14
Pelantikan YB Tuan Lim Guan Eng Sebagai Ahli Jawatankuasa Pemilih,12
RANG UNDANG-UNDANG LEVI KEUNTUNGAN LUAR BIASA (PINDAAN) 2020 Bacaan Kali Yang Kedua dan Ketiga,13
Fasal-fasal 1 hingga 4,10
"AKTA PENDANAAN KERAJAAN 1983 [AKTA 275] - Memindah RM16,500 juta ke Kumpulan Wang Pembangunan",9
